codigo_siniestro,fecha,anio,hora,franja_horaria,distrito,zona,tipo_via,clase_siniestro,cantidad_fallecidos,cantidad_lesionados,n_vehiculos,vehiculo_fugado,soat_no_vigente
A-2022-09-150,2022-09-12,2022,03:40,MADRUGADA (00-05),LURIGANCHO,URBANA,CARRETERA,DESPISTE,1,1,1,NO,NO
A-2022-09-180,2022-09-13,2022,15:10,TARDE (12-17),LIMA,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-09-207,2022-09-13,2022,21:40,NOCHE (18-23),VILLA EL SALVADOR,URBANA,AVENIDA,DESPISTE,1,1,1,NO,NO
A-2022-09-181,2022-09-17,2022,03:20,MADRUGADA (00-05),CALLAO,URBANA,CARRETERA,CHOQUE,1,0,3,SI,NO
A-2022-09-206,2022-09-18,2022,18:50,NOCHE (18-23),ATE,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-09-182,2022-09-19,2022,04:35,MADRUGADA (00-05),CALLAO,URBANA,AVENIDA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-09-205,2022-09-19,2022,06:50,MANANA (06-11),CARABAYLLO,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2022-09-208,2022-09-20,2022,11:30,MANANA (06-11),PACHACAMAC,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-09-204,2022-09-20,2022,12:10,TARDE (12-17),INDEPENDENCIA,URBANA,AVENIDA,CHOQUE,1,3,2,NO,NO
A-2022-09-203,2022-09-21,2022,20:00,NOCHE (18-23),ATE,URBANA,JIRÓN,ATROPELLO,1,0,1,NO,NO
A-2022-09-202,2022-09-21,2022,22:30,NOCHE (18-23),LINCE,URBANA,AVENIDA,CHOQUE,1,0,2,NO,NO
A-2022-09-200,2022-09-24,2022,23:40,NOCHE (18-23),SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-09-198,2022-09-25,2022,00:00,MADRUGADA (00-05),LURIGANCHO,RURAL,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-09-199,2022-09-25,2022,20:30,NOCHE (18-23),CARABAYLLO,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-09-197,2022-09-25,2022,23:20,NOCHE (18-23),SAN MARTIN DE PORRES,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
A-2022-09-196,2022-09-26,2022,02:45,MADRUGADA (00-05),LOS OLIVOS,URBANA,AVENIDA,CHOQUE,1,2,1,NO,SI
A-2022-09-195,2022-09-26,2022,18:30,NOCHE (18-23),LOS OLIVOS,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-10-146,2022-10-01,2022,04:30,MADRUGADA (00-05),CIENEGUILLA,RURAL,AVENIDA,CHOQUE,1,1,2,NO,NO
A-2022-10-144,2022-10-03,2022,07:30,MANANA (06-11),CHORRILLOS,URBANA,AVENIDA,ATROPELLO,1,0,1,NO,NO
A-2022-10-143,2022-10-03,2022,16:00,TARDE (12-17),PUNTA HERMOSA,URBANA,CARRETERA,DESPISTE,1,0,1,NO,NO
A-2022-10-142,2022-10-04,2022,17:30,TARDE (12-17),LA MOLINA,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-10-139,2022-10-09,2022,03:00,MADRUGADA (00-05),SAN JUAN DE MIRAFLORES,URBANA,CARRETERA,ATROPELLO,1,0,1,NO,NO
A-2022-10-217,2022-10-09,2022,20:19,NOCHE (18-23),SAN JUAN DE LURIGANCHO,URBANA,CARRETERA,ATROPELLO FUGA,1,0,1,SI,NO
