codigo_siniestro,codigo_persona,tipo_persona,gravedad,sexo,edad,vehiculo
A-2021-12-154,P-2021-12-154-1-1,CONDUCTOR,FALLECIDO,MASCULINO,,AUTOMÓVIL
A-2021-12-154,P-2021-12-154-1-2,PASAJERO,LESIONADO,FEMENINO,,AUTOMÓVIL
A-2021-12-154,P-2021-12-154-1-3,PASAJERO,LESIONADO,MASCULINO,,AUTOMÓVIL
A-2021-12-155,P-2021-12-155-1-1,CONDUCTOR,ILESO,MASCULINO,31,CAMIONETA RURAL
A-2021-12-155,P-2021-12-155-1-2,PASAJERO,FALLECIDO,MASCULINO,,CAMIONETA RURAL
A-2021-12-155,P-2021-12-155-2-1,CONDUCTOR,ILESO,MASCULINO,56,REMOLCADOR
A-2021-12-156,P-2021-12-156-1-1,CONDUCTOR,ILESO,MASCULINO,24,MOTOCICLETA
A-2021-12-156,P-2021-12-156-1-2,PEATÓN,FALLECIDO,MASCULINO,42,MOTOCICLETA
A-2021-12-157,P-2021-12-157-1-1,CONDUCTOR,ILESO,MASCULINO,74,REMOLCADOR-SEMIREMOLQUE
A-2021-12-157,P-2021-12-157-2-1,CONDUCTOR,ILESO,MASCULINO,33,CAMIONETA RURAL
A-2021-12-157,P-2021-12-157-2-2,PASAJERO,FALLECIDO,FEMENINO,46,CAMIONETA RURAL
A-2021-12-157,P-2021-12-157-2-3,PASAJERO,LESIONADO,MASCULINO,,CAMIONETA RURAL
A-2021-12-157,P-2021-12-157-2-4,PASAJERO,LESIONADO,MASCULINO,,CAMIONETA RURAL
A-2021-12-157,P-2021-12-157-2-5,PASAJERO,LESIONADO,FEMENINO,,CAMIONETA RURAL
A-2021-12-157,P-2021-12-157-2-6,PASAJERO,LESIONADO,FEMENINO,,CAMIONETA RURAL
A-2021-12-157,P-2021-12-157-2-7,PASAJERO,LESIONADO,FEMENINO,,CAMIONETA RURAL
A-2021-12-157,P-2021-12-157-2-8,PASAJERO,LESIONADO,FEMENINO,,CAMIONETA RURAL
A-2021-12-157,P-2021-12-157-2-9,PASAJERO,LESIONADO,MASCULINO,,CAMIONETA RURAL
A-2021-12-158,P-2021-12-158-1-1,CONDUCTOR,FALLECIDO,MASCULINO,,CAMIÓN
A-2021-12-158,P-2021-12-158-2-1,CONDUCTOR,NO SE CONOCE,NO INDICA,,AUTOMÓVIL
A-2021-12-159,P-2021-12-159-1-1,CONDUCTOR,ILESO,MASCULINO,,TRIMOTO PASAJERO
A-2021-12-159,P-2021-12-159-2-1,CONDUCTOR,FALLECIDO,MASCULINO,58,MOTOCICLETA
A-2021-12-161,P-2021-12-161-1-1,CONDUCTOR,ILESO,MASCULINO,22,CAMIÓN
A-2021-12-161,P-2021-12-161-1-2,PASAJERO,FALLECIDO,MASCULINO,23,CAMIÓN
A-2021-12-161,P-2021-12-161-2-1,CONDUCTOR,ILESO,MASCULINO,74,CAMIÓN
A-2021-12-161,P-2021-12-161-3-1,CONDUCTOR,ILESO,MASCULINO,39,REMOLCADOR
A-2021-12-206,P-2021-12-206-1-1,CONDUCTOR,FALLECIDO,MASCULINO,54,MOTOCICLETA
A-2021-12-207,P-2021-12-207-1-1,CONDUCTOR,ILESO,FEMENINO,20,TRIMOTO PASAJERO
A-2021-12-207,P-2021-12-207-1-2,PEATÓN,FALLECIDO,FEMENINO,,TRIMOTO PASAJERO
A-2021-12-208,P-2021-12-208-1-1,CONDUCTOR,ILESO,MASCULINO,43,AUTOMÓVIL
A-2021-12-208,P-2021-12-208-2-1,CONDUCTOR,FALLECIDO,MASCULINO,,MOTOCICLETA
A-2021-12-209,P-2021-12-209-1-1,CONDUCTOR,FALLECIDO,MASCULINO,,BICICLETA
A-2021-12-209,P-2021-12-209-2-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-12-210,P-2021-12-210-1-1,CONDUCTOR FUGADO,NO SE CONOCE,NO INDICA,,VEHICULO NO IDENTIFICADO
A-2021-12-210,P-2021-12-210-2-1,CONDUCTOR,FALLECIDO,MASCULINO,,MOTOCICLETA
